smiles
Br.C=CCCN
C[C@H](N)C(N)=O.Cl
COC(=O)CO
C[C@H](N)C1CC1.Cl
Cl.N[C@@H]1CCOC1
Cl.F[C@@H]1CCNC1
CC[C@@H](N)CO
C#CCOCCl
Brc1csnn1
C[C@@H](N)C1CC1.Cl
C=CCNC(N)=S
Nc1cc(=O)[nH][nH]1
NC1(C(=O)O)CC1
NCCS(=O)(=O)O
C=C(C)CC(=O)O
Nc1ccncc1
CCc1ncc[nH]1
C#CCN(C)CC.Cl
NC(=O)CC(=O)O
CNCC(C)OC.Cl
O=C(O)C(=O)CBr
Cc1cc(Br)no1
CCC1C=CCN1
Cc1ncsc1Br
Cc1cnsc1Br
C1CC2(CC2)CN1.Cl
Cc1[nH]cnc1Br
C[C@@H](N)C(F)(F)F.Cl
CC[C@@H]1CCCN1.Cl
Cl.N[C@H]1COC(=O)C1
C[C@H](N)C(C)(C)O.Cl
C=C1CC(CN)C1.Cl
CC(C)(C#N)CN
Oc1nocc1Br
C#CC(N)C1CC1.Cl
CO[C@@H]1CCNC1.Cl
CNC1CC(C)C1.Cl
C[C@H](N)C1(C)CC1.Cl
C#CCCCOC
Clc1cc(Br)n[nH]1
C#CCOCCCN.Cl
C#CCNCC(F)F.Cl
CC(=O)N1CC(N)C1.O=C(O)C(F)(F)F
CN(C)C1CCNC1.Cl.Cl
OCc1ccccn1
CC(=O)CCC(=O)O
Cc1nc(CN)no1.Cl
CCC(CN)N(C)C.Cl.Cl
NC1=CC(=O)CCC1
Cn1cc(CN)cn1
CC(N)C1CCCO1
Cl.N=C(N)c1ccsc1
O=C(O)C1CCOC1
CC1=NNC(=O)CC1
CNCc1ncc[nH]1.Cl.Cl
CCC1(N)CCCC1.Cl
CCC(N)(CC)CC.Cl
OC1CCCCC1O
O=CC1CCC=CO1
CS(=O)(=O)CCC#N
Nc1nc(=O)cc[nH]1
Cl.NC(C(=O)O)C1CC1
COC(C)(C)C(=O)O
C#CCNC(=O)OC
C#CCN(C)C(C)C.Cl
CNC1(C)CCCC1.Cl
CC(C)(C)CCCN
CCC(COC)NC
C[C@@H](N)C(=O)N(C)C.Cl
Cl.Nc1cc(F)ccn1
Cl.FC1(F)C2CNCC21
Cl.Cl.Cn1nnnc1CN
Cl.NC1CCC(F)(F)C1
CC(N)CCC(=O)O.Cl
C#CC(C)(C)N=C=O
CC1CNCCC1O.Cl
CC1CNCC(=O)N1
CCn1cc(N)nn1.Cl
Cc1c(Br)cnn1C
Cl.OC[C@H]1CNCCO1
Cl.OC[C@@H]1CNCCO1
Fc1ccnc(Br)c1
OC[C@@H]1CCCNC1
CCn1cc[nH]c1=O
CC(C)(C)C(C)(C)N.Cl
Oc1ccc(Br)nn1
CC1=NOC(CN)C1.Cl
C#CC(C)(C)C(=O)O
O=S1(=O)C=CC(O)C1
C1CC2CCNC2C1
Cc1cn(C)c(Br)n1
CC[C@H]1COCCN1.Cl
CC[C@H](N)C(F)(F)F.Cl
O=C1C[C@H](O)CCN1
C[C@@H](O)[C@@H](N)C(=O)O
COC(F)(F)C(Cl)Cl
Cc1ncc(Br)cn1
Cl.OC1CNCC12CC2
CC(C)C1CC(N)C1
Nc1nc(=O)cn[nH]1
CC(C)[C@@H](N)C(N)=O.Cl
CC1(C)CC1(N)C#N
Cl.N#CC1CCCNC1
CSCCC(O)CN
CCc1[nH]ncc1Br
CC[C@@H]1CNCCO1.Cl
CCn1ncnc1Br
NCc1sccc1Cl
Fc1cnc(Br)cn1
Cl.NC(CCF)C(=O)O
OC1CC2CCC1O2
[O-][n+]1cccc(Br)c1
Cc1cncc(Br)n1
CCC(N)C1CC1C
C#CC(=O)C(C)(C)C
CNC1CC(CO)C1.Cl
